1 10060 1006 1 300 170 86
2 10060 1006 2 330 280 95
3 10100 1010 1 320 180 85
4 10100 1010 2 370 300 105
5 10150 1015 1 340 190 101
6 10150 1015 2 390 320 111
7 10180 1018 1 400 220 116
8 10180 1018 2 440 370 126
9 10200 1020 1 380 210 111
10 10200 1020 2 470 390 131
11 10300 1030 1 470 260 137
12 10300 1030 2 520 440 149
13 10350 1035 1 500 270 143
14 10350 1035 2 550 460 163
15 10400 1040 1 520 290 149
16 10400 1040 2 590 490 170
17 10450 1045 1 570 310 163
18 10450 1045 2 630 530 179
19 10500 1050 1 620 340 179
20 10500 1050 2 690 580 197
21 10600 1060 1 680 370 201
22 10800 1080 1 770 420 229
23 10950 1095 1 830 460 248
